userName,text,date,Complaint_tokenized_text
ngui_sintan,timnas kali ini semua cogan semua ya,2024/04/29 10:16:56,"[['timnas', 'kali', 'ini', 'semua', 'cogan', 'semua', 'ya']]"
agustiyaindahsariputri,timnas indonesia u19 vs pra pon,2024/04/29 12:28:06,"[['timnas', 'indonesia', 'u19', 'vs', 'pra', 'pon']]"
dslsyabildumps_,uhuyyyy,2024/04/29 14:36:48,[['uhuyyyy']]
rohadiiiiiii,final waalykumsalam,2024/04/29 14:57:33,"[['final', 'waalykumsalam']]"
ayunabilaaaaa,beyond proud,2024/04/29 16:31:02,"[['beyond', 'proud']]"
rezha_halo,bismillah,2024/04/29 17:34:24,[['bismillah']]
iqbal_fadilah30,gas indonesia,2024/04/29 17:39:28,"[['gas', 'indonesia']]"
aris_rifai30,bismillah menang,2024/04/29 19:02:15,"[['bismillah', 'menang']]"
nesyaamaliaaaa,bismillah belum mulaiii tapi udah dek dekan,2024/04/29 19:32:33,"[['bismillah', 'belum', 'mulaiii', 'tapi', 'udah', 'dek', 'dekan']]"
mifth_dn99,pssi minta sosmed wasitnya dong min kek nya mau diruqiiah ni wasit,2024/04/29 22:25:58,"[['pssi', 'minta', 'sosmed', 'wasitnya', 'dong', 'min', 'kek', 'nya', 'mau', 'diruqiiah', 'ni', 'wasit']]"
a_awan1226,bismillah assalamualaikum team garuda indonesia 23 info kalau menang,2024/04/29 22:32:49,"[['bismillah', 'assalamualaikum', 'team', 'garuda', 'indonesia', '23', 'info', 'kalau', 'menang']]"
a_awan1226,ijin crendo,2024/04/29 22:33:24,"[['ijin', 'crendo']]"
felixbott12_,yang mau ig nya wasit ini tulis aja ig wasit,2024/04/29 23:14:52,"[['yang', 'mau', 'ig', 'nya', 'wasit', 'ini', 'tulis', 'aja', 'ig', 'wasit']]"
pharmacist_nodrug,noeabdi kalau sekarang apa bang wkw,2024/04/29 23:15:43,"[['noeabdi', 'kalau', 'sekarang', 'apa', 'bang', 'wkw']]"
mellynars_,kalian keren abizzzz,2024/04/29 23:19:13,"[['kalian', 'keren', 'abizzzz']]"
aldisalah_,yok bisa yok ambil posisi 3,2024/04/29 23:21:50,"[['yok', 'bisa', 'yok', 'ambil', 'posisi', '3']]"
arya_saputra223,sandywalsh ente nggak main san,2024/04/29 23:24:36,"[['sandywalsh', 'ente', 'nggak', 'main', 'san']]"
sabilaputri_2,tetap semangat garuda ku,2024/04/29 23:25:15,"[['tetap', 'semangat', 'garuda', 'ku']]"
ini_fahrul,ig wasit dan wasit var anjeng,2024/04/29 23:25:48,"[['ig', 'wasit', 'dan', 'wasit', 'var', 'anjeng']]"
ncep_ipin,padahal masih banyak pemain yg gk dimain kan sama sekali sama sty udh jauh jauh ikut latihan cape bareng tpi gk main trs ini afc lagi,2024/04/29 23:25:59,"[['padahal', 'masih', 'banyak', 'pemain', 'yg', 'gk', 'dimain', 'kan', 'sama', 'sekali', 'sama', 'sty', 'udh', 'jauh', 'jauh', 'ikut', 'latihan', 'cape', 'bareng', 'tpi', 'gk', 'main', 'trs', 'ini', 'afc', 'lagi']]"
ridojr13,wasit korsel vs indo piye jek enak jaman ku toh,2024/04/29 23:42:59,"[['wasit', 'korsel', 'vs', 'indo', 'piye', 'jek', 'enak', 'jaman', 'ku', 'toh']]"
bagus.alfarizie,tetaplah bermain jujur walopun kaaj akan wasit karena kalian lah juaranyasemangat,2024/04/29 23:46:17,"[['tetaplah', 'bermain', 'jujur', 'walopun', 'kaaj', 'akan', 'wasit', 'karena', 'kalian', 'lah', 'juaranyasemangat']]"
imetjahkene,apapun hasilnya malam ini kami ttep bangga dengan perjuangan kalian trimakasih sudah sejauh ini semangat garudaku,2024/04/29 23:50:41,"[['apapun', 'hasilnya', 'malam', 'ini', 'kami', 'ttep', 'bangga', 'dengan', 'perjuangan', 'kalian', 'trimakasih', 'sudah', 'sejauh', 'ini', 'semangat', 'garudaku']]"
wisanggeni1206,tetep cinta tinnas apapun hasilnya kalian sdh berjuang tks hero,2024/04/30 00:01:36,"[['tetep', 'cinta', 'tinnas', 'apapun', 'hasilnya', 'kalian', 'sdh', 'berjuang', 'tks', 'hero']]"
taradiva__,terima kasih timnas sudah berjuang dengan keras tetap semangat dan jangan menyerahproud hormat setinggi2nya,2024/04/30 00:36:21,"[['terima', 'kasih', 'timnas', 'sudah', 'berjuang', 'dengan', 'keras', 'tetap', 'semangat', 'dan', 'jangan', 'menyerahproud', 'hormat', 'setinggi2nya']]"
fattt.hya,bangga,2024/04/30 07:13:05,[['bangga']]
sya_raww17,bismillahirrahmanirrahim,2024/04/30 08:39:10,[['bismillahirrahmanirrahim']]
wibu_kampung,sandywalsh,2024/04/30 10:02:49,[['sandywalsh']]
urpretty_mala,menyala abangku,2024/04/30 10:52:30,"[['menyala', 'abangku']]"
mumtazah_a.f,im proud timnas indonesia,2024/04/30 17:29:51,"[['im', 'proud', 'timnas', 'indonesia']]"
daaaa_0012,semangat timnas indonesia menyala timnas indonesia,2024/05/01 22:11:04,"[['semangat', 'timnas', 'indonesia', 'menyala', 'timnas', 'indonesia']]"
timnasindonesia_update2,terimankasih pak erik thohir dan smua yg sudah terliba atas keeberhhasilan timnas sejauh ini,2024/05/02 10:46:05,"[['terimankasih', 'pak', 'erik', 'thohir', 'dan', 'smua', 'yg', 'sudah', 'terliba', 'atas', 'keeberhhasilan', 'timnas', 'sejauh', 'ini']]"
seacc__aja,indonesia 3 iraq 1,2024/05/02 15:33:24,"[['indonesia', '3', 'iraq', '1']]"
afsssian,ayo timnas bisa menang untuk masuk olimpiade paris,2024/05/02 17:31:23,"[['ayo', 'timnas', 'bisa', 'menang', 'untuk', 'masuk', 'olimpiade', 'paris']]"
naffzzxx,rafael ganteng bgttttttt,2024/05/02 18:55:06,"[['rafael', 'ganteng', 'bgttttttt']]"
dani_gunwn,putrasiregarr17 air mengalir di dalam goa lihat orang jalan terbalik kita bantu dengan doa semoga timnas dapat hasil terbaik,2024/05/02 21:28:56,"[['putrasiregarr17', 'air', 'mengalir', 'di', 'dalam', 'goa', 'lihat', 'orang', 'jalan', 'terbalik', 'kita', 'bantu', 'dengan', 'doa', 'semoga', 'timnas', 'dapat', 'hasil', 'terbaik']]"
raflii_fajrr,rfkyrivldo apo nan assalamualaikum lah kalah alah,2024/05/04 11:01:41,"[['rfkyrivldo', 'apo', 'nan', 'assalamualaikum', 'lah', 'kalah', 'alah']]"
rfkyrivldo_,masih ada 1 lagi lwn squad chetahh,2024/05/04 11:34:10,"[['masih', 'ada', '1', 'lagi', 'lwn', 'squad', 'chetahh']]"
rendangque,pak erickthohir shintaeyong7777 bawa pemain timnas ke bali pak suruh mereka latihan passing dan jugling pakai bola api seperti yg pernah dilakukan cr7 dulu sebelum dia terkenal ini akan membuat mereka belajar tidak terlalu lama membawa bola,2024/05/04 14:50:07,"[['pak', 'erickthohir', 'shintaeyong7777', 'bawa', 'pemain', 'timnas', 'ke', 'bali', 'pak', 'suruh', 'mereka', 'latihan', 'passing', 'dan', 'jugling', 'pakai', 'bola', 'api', 'seperti', 'yg', 'pernah', 'dilakukan', 'cr7', 'dulu', 'sebelum', 'dia', 'terkenal', 'ini', 'akan', 'membuat', 'mereka', 'belajar', 'tidak', 'terlalu', 'lama', 'membawa', 'bola']]"
