date,userName,text,case_folding,cleansing,normalisasi,remove_two_words,tokenize
2024/04/29 10:16:56,ngui_sintan,Timnas kali ini semua cogan semua ya ????????,timnas kali ini semua cogan semua ya ????????,timnas kali ini semua cogan semua ya ,tim nasional kali ini semua cogan semua ya,tim nasional kali ini semua cogan semua,"['tim', 'nasional', 'kali', 'ini', 'semua', 'cogan', 'semua']"
2024/04/29 12:28:06,agustiyaindahsariputri,Timnas Indonesia U-19 vs pra PON,timnas indonesia u-19 vs pra pon,timnas indonesia u vs pra pon,tim nasional indonesia kamu vs pra pon,tim nasional indonesia kamu pra pon,"['tim', 'nasional', 'indonesia', 'kamu', 'pra', 'pon']"
2024/04/29 14:36:48,dslsyabildumps_,uhuyyyy????,uhuyyyy????,uhuyyyy,uhuyyyy,uhuyyyy,['uhuyyyy']
2024/04/29 14:57:33,rohadiiiiiii,Final : waalykumsalam ????,final : waalykumsalam ????,final  waalykumsalam ,final waalykumsalam,final waalykumsalam,"['final', 'waalykumsalam']"
2024/04/29 16:31:02,ayunabilaaaaa,beyond proud???,beyond proud???,beyond proud,beyond proud,beyond proud,"['beyond', 'proud']"
2024/04/29 17:34:24,rezha_halo,Bismillah..??????????????,bismillah..??????????????,bismillah,bismillah,bismillah,['bismillah']
2024/04/29 17:39:28,iqbal_fadilah30,???????? Gas indonesia,???????? gas indonesia, gas indonesia,ayo indonesia,ayo indonesia,"['ayo', 'indonesia']"
2024/04/29 19:02:15,aris_rifai30,Bismillah menang????????,bismillah menang????????,bismillah menang,bismillah menang,bismillah menang,"['bismillah', 'menang']"
2024/04/29 19:32:33,nesyaamaliaaaa,"BISMILLAH, BELUM MULAIII TAPI UDAH DEK DEKAN","bismillah, belum mulaiii tapi udah dek dekan",bismillah belum mulaiii tapi udah dek dekan,bismillah belum mulaiii tapi sudah dek dekan,bismillah belum mulaiii tapi sudah dek dekan,"['bismillah', 'belum', 'mulaiii', 'tapi', 'sudah', 'dek', 'dekan']"
2024/04/29 22:25:58,mifth_dn99,"@pssi minta sosmed wasitnya dong min, kek nya mau diruqiiah ni wasit","@pssi minta sosmed wasitnya dong min, kek nya mau diruqiiah ni wasit",  minta sosmed wasitnya dong min kek nya mau diruqiiah ni wasit,minta sosmed wasitnya dong min seperti nya mau diruqiiah ni wasit,minta sosmed wasitnya dong min seperti nya mau diruqiiah wasit,"['minta', 'sosmed', 'wasitnya', 'dong', 'min', 'seperti', 'nya', 'mau', 'diruqiiah', 'wasit']"
2024/04/29 22:32:49,a_awan1226,Bismillah assalamualaikum team Garuda Indonesia 23 info kalau menang,bismillah assalamualaikum team garuda indonesia 23 info kalau menang,bismillah assalamualaikum team garuda indonesia  info kalau menang,bismillah assalamualaikum team garuda indonesia informasi kalau menang,bismillah assalamualaikum team garuda indonesia informasi kalau menang,"['bismillah', 'assalamualaikum', 'team', 'garuda', 'indonesia', 'informasi', 'kalau', 'menang']"
2024/04/29 22:33:24,a_awan1226,Ijin crendo,ijin crendo,ijin crendo,izin crendo,izin crendo,"['izin', 'crendo']"
2024/04/29 23:14:52,felixbott12_,Yang mau Ig nya wasit ini tulis aja Ig wasit,yang mau ig nya wasit ini tulis aja ig wasit,yang mau ig nya wasit ini tulis aja ig wasit,yang mau ig nya wasit ini tulis saja ig wasit,yang mau nya wasit ini tulis saja wasit,"['yang', 'mau', 'nya', 'wasit', 'ini', 'tulis', 'saja', 'wasit']"
2024/04/29 23:15:43,pharmacist_nodrug,@noe__abdi kalau sekarang apa bang? Wkw,@noe__abdi kalau sekarang apa bang? wkw,  kalau sekarang apa bang wkw,kalau sekarang apa bang wkw,kalau sekarang apa bang wkw,"['kalau', 'sekarang', 'apa', 'bang', 'wkw']"
2024/04/29 23:19:13,mellynars_,kalian keren abizzzz!!!!,kalian keren abizzzz!!!!,kalian keren abizzzz,kalian kere tulen abizzzz,kalian kere tulen abizzzz,"['kalian', 'kere', 'tulen', 'abizzzz']"
2024/04/29 23:21:50,aldisalah_,Yok bisa yok ambil posisi 3????????,yok bisa yok ambil posisi 3????????,yok bisa yok ambil posisi ,yok bisa yok ambil posisi,yok bisa yok ambil posisi,"['yok', 'bisa', 'yok', 'ambil', 'posisi']"
2024/04/29 23:24:36,arya_saputra223,@sandywalsh ente nggak main san,@sandywalsh ente nggak main san,  ente nggak main san,ente tidak main san,ente tidak main san,"['ente', 'tidak', 'main', 'san']"
2024/04/29 23:25:15,sabilaputri_2,Tetap semangat garuda ku,tetap semangat garuda ku,tetap semangat garuda ku,tetap semangat garuda ku,tetap semangat garuda,"['tetap', 'semangat', 'garuda']"
2024/04/29 23:25:48,ini_fahrul,IG WASIT DAN WASIT VAR ANJENG,ig wasit dan wasit var anjeng,ig wasit dan wasit var anjeng,ig wasit dan wasit var anjeng,wasit dan wasit var anjeng,"['wasit', 'dan', 'wasit', 'var', 'anjeng']"
2024/04/29 23:25:59,ncep_ipin,Padahal masih banyak pemain yg GK dimain kan sama sekali sama sty udh jauh jauh ikut latihan cape bareng tpi GK main trs ini AFC lagi,padahal masih banyak pemain yg gk dimain kan sama sekali sama sty udh jauh jauh ikut latihan cape bareng tpi gk main trs ini afc lagi,padahal masih banyak pemain yg gk dimain kan sama sekali sama sty udh jauh jauh ikut latihan cape bareng tpi gk main trs ini afc lagi,padahal masih banyak pemain yang tidak dimain kan sama sekali sama sty sudah jauh jauh ikut latihan capek bareng tapi tidak main terus ini afc lagi,padahal masih banyak pemain yang tidak dimain kan sama sekali sama sty sudah jauh jauh ikut latihan capek bareng tapi tidak main terus ini afc lagi,"['padahal', 'masih', 'banyak', 'pemain', 'yang', 'tidak', 'dimain', 'kan', 'sama', 'sekali', 'sama', 'sty', 'sudah', 'jauh', 'jauh', 'ikut', 'latihan', 'capek', 'bareng', 'tapi', 'tidak', 'main', 'terus', 'ini', 'afc', 'lagi']"
2024/04/29 23:42:59,ridojr13,"wasit Korsel vs Indo ???: piye, jek enak jaman ku toh ??","wasit korsel vs indo ???: piye, jek enak jaman ku toh ??",wasit korsel vs indo  piye jek enak jaman ku toh ,wasit korsel vs indonesia bagaimana jek enak jaman ku toh,wasit korsel indonesia bagaimana jek enak jaman toh,"['wasit', 'korsel', 'indonesia', 'bagaimana', 'jek', 'enak', 'jaman', 'toh']"
2024/04/29 23:46:17,bagus.alfarizie,Tetaplah bermain jujur walopun kaaj akan wasit ..karena kalian lah juaranya..Semangat????,tetaplah bermain jujur walopun kaaj akan wasit ..karena kalian lah juaranya..semangat????,tetaplah bermain jujur walopun kaaj akan wasit karena kalian lah juaranyasemangat,tetaplah bermain jujur walopun kaaj akan wasit karena kalian lah juaranyasemangat,tetaplah bermain jujur walopun kaaj akan wasit karena kalian lah juaranyasemangat,"['tetaplah', 'bermain', 'jujur', 'walopun', 'kaaj', 'akan', 'wasit', 'karena', 'kalian', 'lah', 'juaranyasemangat']"
2024/04/29 23:50:41,imetjahkene,"Apapun hasilnya  malam ini kami ttep Bangga  dengan perjuangan  kalian, trimakasih sudah sejauh ini.. semangat garudaku????","apapun hasilnya  malam ini kami ttep bangga  dengan perjuangan  kalian, trimakasih sudah sejauh ini.. semangat garudaku????",apapun hasilnya  malam ini kami ttep bangga  dengan perjuangan  kalian trimakasih sudah sejauh ini semangat garudaku,apapun hasilnya malam ini kami ttep bangga dengan perjuangan kalian trimakasih sudah sejauh ini semangat garudaku,apapun hasilnya malam ini kami ttep bangga dengan perjuangan kalian trimakasih sudah sejauh ini semangat garudaku,"['apapun', 'hasilnya', 'malam', 'ini', 'kami', 'ttep', 'bangga', 'dengan', 'perjuangan', 'kalian', 'trimakasih', 'sudah', 'sejauh', 'ini', 'semangat', 'garudaku']"
2024/04/30 00:01:36,wisanggeni1206,Tetep cinta Tinnas apapun hasilnya. Kalian Sdh berjuang. Tks my hero,tetep cinta tinnas apapun hasilnya. kalian sdh berjuang. tks my hero,tetep cinta tinnas apapun hasilnya kalian sdh berjuang tks my hero,tetap cinta tinnas apapun hasilnya kalian sudah berjuang terimakasih my hero,tetap cinta tinnas apapun hasilnya kalian sudah berjuang terimakasih hero,"['tetap', 'cinta', 'tinnas', 'apapun', 'hasilnya', 'kalian', 'sudah', 'berjuang', 'terimakasih', 'hero']"
2024/04/30 00:36:21,taradiva__,"TERIMA KASIH TIMNAS SUDAH BERJUANG DENGAN KERAS, TETAP SEMANGAT DAN JANGAN MENYERAH.PROUD??????

Hormat setinggi2nya??","terima kasih timnas sudah berjuang dengan keras, tetap semangat dan jangan menyerah.proud??????

hormat setinggi2nya??","terima kasih timnas sudah berjuang dengan keras tetap semangat dan jangan menyerahproud

hormat setingginya",terima kasih tim nasional sudah berjuang dengan keras tetap semangat dan jangan menyerahproud hormat setingginya,terima kasih tim nasional sudah berjuang dengan keras tetap semangat dan jangan menyerahproud hormat setingginya,"['terima', 'kasih', 'tim', 'nasional', 'sudah', 'berjuang', 'dengan', 'keras', 'tetap', 'semangat', 'dan', 'jangan', 'menyerahproud', 'hormat', 'setingginya']"
2024/04/30 07:13:05,fattt.hya,Bangga??,bangga??,bangga,bangga,bangga,['bangga']
2024/04/30 08:39:10,sya_raww17,Bismillahirrahmanirrahim,bismillahirrahmanirrahim,bismillahirrahmanirrahim,bismillahirrahmanirrahim,bismillahirrahmanirrahim,['bismillahirrahmanirrahim']
2024/04/30 10:52:30,urpretty_mala,MENYALA ABANGKU!!!!!!????????????????????,menyala abangku!!!!!!????????????????????,menyala abangku,menyala abangku,menyala abangku,"['menyala', 'abangku']"
2024/04/30 17:29:51,mumtazah_a.f,I'm proud of timnas Indonesia ??????,i'm proud of timnas indonesia ??????,im proud of timnas indonesia ,im proud of tim nasional indonesia,proud tim nasional indonesia,"['proud', 'tim', 'nasional', 'indonesia']"
2024/05/01 22:11:04,daaaa_0012,Semangat timnas Indonesia menyala timnas Indonesia ????,semangat timnas indonesia menyala timnas indonesia ????,semangat timnas indonesia menyala timnas indonesia ,semangat tim nasional indonesia menyala tim nasional indonesia,semangat tim nasional indonesia menyala tim nasional indonesia,"['semangat', 'tim', 'nasional', 'indonesia', 'menyala', 'tim', 'nasional', 'indonesia']"
2024/05/02 10:46:05,timnasindonesia_update2,Terimankasih pak erik thohir dan smua yg sudah terliba atas keeberhhasilan timnas sejauh ini ??????,terimankasih pak erik thohir dan smua yg sudah terliba atas keeberhhasilan timnas sejauh ini ??????,terimankasih pak erik thohir dan smua yg sudah terliba atas keeberhhasilan timnas sejauh ini ,terimankasih pak erik thohir dan semua yang sudah terliba atas keeberhhasilan tim nasional sejauh ini,terimankasih pak erik thohir dan semua yang sudah terliba atas keeberhhasilan tim nasional sejauh ini,"['terimankasih', 'pak', 'erik', 'thohir', 'dan', 'semua', 'yang', 'sudah', 'terliba', 'atas', 'keeberhhasilan', 'tim', 'nasional', 'sejauh', 'ini']"
2024/05/02 15:33:24,seacc__aja,Indonesia 3 iraq 1,indonesia 3 iraq 1,indonesia  iraq ,indonesia iraq,indonesia iraq,"['indonesia', 'iraq']"
2024/05/02 17:31:23,afsssian,Ayo timnas !!! Bisa menang untuk masuk olimpiade paris,ayo timnas !!! bisa menang untuk masuk olimpiade paris,ayo timnas  bisa menang untuk masuk olimpiade paris,ayo tim nasional bisa menang untuk masuk olimpiade paris,ayo tim nasional bisa menang untuk masuk olimpiade paris,"['ayo', 'tim', 'nasional', 'bisa', 'menang', 'untuk', 'masuk', 'olimpiade', 'paris']"
2024/05/02 18:55:06,naffzzxx,Rafael ganteng bgttttttt??????,rafael ganteng bgttttttt??????,rafael ganteng bgttttttt,rafael ganteng bgttttttt,rafael ganteng bgttttttt,"['rafael', 'ganteng', 'bgttttttt']"
2024/05/02 21:28:56,dani_gunwn,"@putrasiregarr17 Air mengalir di dalam goa
Lihat orang jalan terbalik
Kita bantu dengan doa
Semoga Timnas dapat hasil terbaik","@putrasiregarr17 air mengalir di dalam goa
lihat orang jalan terbalik
kita bantu dengan doa
semoga timnas dapat hasil terbaik","  air mengalir di dalam goa
lihat orang jalan terbalik
kita bantu dengan doa
semoga timnas dapat hasil terbaik",air mengalir di dalam goa lihat orang jalan terbalik kita bantu dengan doa semoga tim nasional dapat hasil terbaik,air mengalir dalam goa lihat orang jalan terbalik kita bantu dengan doa semoga tim nasional dapat hasil terbaik,"['air', 'mengalir', 'dalam', 'goa', 'lihat', 'orang', 'jalan', 'terbalik', 'kita', 'bantu', 'dengan', 'doa', 'semoga', 'tim', 'nasional', 'dapat', 'hasil', 'terbaik']"
2024/05/04 11:01:41,raflii_fajrr,@rfkyrivldo_ apo nan assalamu'alaikum lah kalah alah,@rfkyrivldo_ apo nan assalamu'alaikum lah kalah alah,  apo nan assalamualaikum lah kalah alah,dengan apa nan assalamualaikum lah kalah alah,dengan apa nan assalamualaikum lah kalah alah,"['dengan', 'apa', 'nan', 'assalamualaikum', 'lah', 'kalah', 'alah']"
2024/05/04 11:34:10,rfkyrivldo_,"Masih ada 1 lagi , lwn squad chetahh????","masih ada 1 lagi , lwn squad chetahh????",masih ada  lagi  lwn squad chetahh,masih ada lagi lawan squad chetahh,masih ada lagi lawan squad chetahh,"['masih', 'ada', 'lagi', 'lawan', 'squad', 'chetahh']"
2024/05/04 14:50:07,rendangque,Pak @erickthohir @shintaeyong7777 bawa pemain timnas ke BALI pak suruh mereka latihan passing dan jugling pakai bola api seperti yg pernah dilakukan CR7 dulu sebelum dia terkenal ini akan membuat mereka belajar tidak terlalu lama membawa bola... ????,pak @erickthohir @shintaeyong7777 bawa pemain timnas ke bali pak suruh mereka latihan passing dan jugling pakai bola api seperti yg pernah dilakukan cr7 dulu sebelum dia terkenal ini akan membuat mereka belajar tidak terlalu lama membawa bola... ????,pak     bawa pemain timnas ke bali pak suruh mereka latihan passing dan jugling pakai bola api seperti yg pernah dilakukan cr dulu sebelum dia terkenal ini akan membuat mereka belajar tidak terlalu lama membawa bola ,pak bawa pemain tim nasional ke bali pak suruh mereka latihan passing dan jugling pakai bola api seperti yang pernah dilakukan cara dulu sebelum dia terkenal ini akan membuat mereka belajar tidak terlalu lama membawa bola,pak bawa pemain tim nasional bali pak suruh mereka latihan passing dan jugling pakai bola api seperti yang pernah dilakukan cara dulu sebelum dia terkenal ini akan membuat mereka belajar tidak terlalu lama membawa bola,"['pak', 'bawa', 'pemain', 'tim', 'nasional', 'bali', 'pak', 'suruh', 'mereka', 'latihan', 'passing', 'dan', 'jugling', 'pakai', 'bola', 'api', 'seperti', 'yang', 'pernah', 'dilakukan', 'cara', 'dulu', 'sebelum', 'dia', 'terkenal', 'ini', 'akan', 'membuat', 'mereka', 'belajar', 'tidak', 'terlalu', 'lama', 'membawa', 'bola']"
2024/05/05 12:11:24,arifuwik533gmail.com3,"Meskipun sampai di juara empat,kalian tetap juara satunya Indonesia, semangat terus garudaku kamu hebat ??????","meskipun sampai di juara empat,kalian tetap juara satunya indonesia, semangat terus garudaku kamu hebat ??????",meskipun sampai di juara empatkalian tetap juara satunya indonesia semangat terus garudaku kamu hebat ,meskipun sampai di juara empatkalian tetap juara satunya indonesia semangat terus garudaku kamu hebat,meskipun sampai juara empatkalian tetap juara satunya indonesia semangat terus garudaku kamu hebat,"['meskipun', 'sampai', 'juara', 'empatkalian', 'tetap', 'juara', 'satunya', 'indonesia', 'semangat', 'terus', 'garudaku', 'kamu', 'hebat']"
2024/05/06 09:48:58,pamungkas_bie,tapi sok kali,tapi sok kali,tapi sok kali,tapi sok kali,tapi sok kali,"['tapi', 'sok', 'kali']"
2024/04/27 22:39:45,anugrahhh_09,"@irfan.ghafur bukan orng sumedang bang, bang wasit orang bengkulu????","@irfan.ghafur bukan orng sumedang bang, bang wasit orang bengkulu????", ghafur bukan orng sumedang bang bang wasit orang bengkulu,ghafur bukan orang sumedang bang bang wasit orang bengkulu,ghafur bukan orang sumedang bang bang wasit orang bengkulu,"['ghafur', 'bukan', 'orang', 'sumedang', 'bang', 'bang', 'wasit', 'orang', 'bengkulu']"
2024/04/28 02:06:47,stytinkque,@kapolresta_banyumas biasanya jantung  saya yg mau copot  saat ketemu operasi polisi di jalan pak..???? bercanda..,@kapolresta_banyumas biasanya jantung  saya yg mau copot  saat ketemu operasi polisi di jalan pak..???? bercanda..,  biasanya jantung  saya yg mau copot  saat ketemu operasi polisi di jalan pak bercanda,biasanya jantung saya yang mau lepas saat ketemu operasi polisi di jalan pak bercanda,biasanya jantung saya yang mau lepas saat ketemu operasi polisi jalan pak bercanda,"['biasanya', 'jantung', 'saya', 'yang', 'mau', 'lepas', 'saat', 'ketemu', 'operasi', 'polisi', 'jalan', 'pak', 'bercanda']"
2024/04/28 03:24:21,d_bayudirgayusa,@samyawsutha siap pak,@samyawsutha siap pak,  siap pak,siap pak,siap pak,"['siap', 'pak']"
2024/04/28 08:45:32,maureadyra,Asnawi kmna,asnawi kmna,asnawi kmna,asnawi kemana,asnawi kemana,"['asnawi', 'kemana']"
2024/04/28 09:12:41,itachirivan,"Uzb ga prnh kalah dan ga prnh kebobolan , tapi tenang timnas kita sedang menyalaaa ??????","uzb ga prnh kalah dan ga prnh kebobolan , tapi tenang timnas kita sedang menyalaaa ??????",uzb ga prnh kalah dan ga prnh kebobolan  tapi tenang timnas kita sedang menyalaaa ,uzb tidak pernah kalah dan tidak pernah kebobolan tapi mengalihkan perhatian tim nasional kita sedang menyalaaa,uzb tidak pernah kalah dan tidak pernah kebobolan tapi mengalihkan perhatian tim nasional kita sedang menyalaaa,"['uzb', 'tidak', 'pernah', 'kalah', 'dan', 'tidak', 'pernah', 'kebobolan', 'tapi', 'mengalihkan', 'perhatian', 'tim', 'nasional', 'kita', 'sedang', 'menyalaaa']"
2024/04/28 09:15:45,alifsupriant_,"@bagas.a.e.prasetya Bismillah dukungan penuh, semoga lolos final ??","@bagas.a.e.prasetya bismillah dukungan penuh, semoga lolos final ??", aeprasetya bismillah dukungan penuh semoga lolos final ,aeprasetya bismillah dukungan penuh semoga lolos final,aeprasetya bismillah dukungan penuh semoga lolos final,"['aeprasetya', 'bismillah', 'dukungan', 'penuh', 'semoga', 'lolos', 'final']"
2024/04/28 09:23:12,haidar.panjul13,@athan31_ bener kok 2 sama,@athan31_ bener kok 2 sama,  bener kok  sama,bener kok sama,bener kok sama,"['bener', 'kok', 'sama']"
2024/04/28 09:54:25,rz2___1,Semoga menang,semoga menang,semoga menang,semoga menang,semoga menang,"['semoga', 'menang']"
2024/04/28 09:56:19,kissmemoree__,"Semoga kebahagiaan ini bisa terus berlanjut.

Terimkasih Timnas ????","semoga kebahagiaan ini bisa terus berlanjut.

terimkasih timnas ????","semoga kebahagiaan ini bisa terus berlanjut

terimkasih timnas ",semoga kebahagiaan ini bisa terus berlanjut terimkasih tim nasional,semoga kebahagiaan ini bisa terus berlanjut terimkasih tim nasional,"['semoga', 'kebahagiaan', 'ini', 'bisa', 'terus', 'berlanjut', 'terimkasih', 'tim', 'nasional']"
2024/04/28 10:01:41,biintangislami,@ali_zidane29 wa'alaikumsalam,@ali_zidane29 wa'alaikumsalam,  waalaikumsalam,waalaikumsalam,waalaikumsalam,['waalaikumsalam']
2024/04/28 10:13:03,bagas.a.e.prasetya,"@alifsupriant_ inggih mas e, kita support jalur langit hehe","@alifsupriant_ inggih mas e, kita support jalur langit hehe",  inggih mas e kita support jalur langit hehe,inggih mas e kita support jalur langit hehe,inggih mas kita support jalur langit hehe,"['inggih', 'mas', 'kita', 'support', 'jalur', 'langit', 'hehe']"
2024/04/28 10:25:25,bintngrdfa3_,Yok bisa yokk??,yok bisa yokk??,yok bisa yokk,yok bisa yokk,yok bisa yokk,"['yok', 'bisa', 'yokk']"
2024/04/28 10:50:14,rfliakbrrr_,@ndiiisml uluh,@ndiiisml uluh,  uluh,uluh,uluh,['uluh']
2024/04/28 11:16:35,kopijamur,Bismillahirrahmanirrahim Timnas menang 3-1 kita semua dukung dan doa buat timnas tercinta,bismillahirrahmanirrahim timnas menang 3-1 kita semua dukung dan doa buat timnas tercinta,bismillahirrahmanirrahim timnas menang  kita semua dukung dan doa buat timnas tercinta,bismillahirrahmanirrahim tim nasional menang kita semua dukung dan doa buat tim nasional tercinta,bismillahirrahmanirrahim tim nasional menang kita semua dukung dan doa buat tim nasional tercinta,"['bismillahirrahmanirrahim', 'tim', 'nasional', 'menang', 'kita', 'semua', 'dukung', 'dan', 'doa', 'buat', 'tim', 'nasional', 'tercinta']"
