,stemming_data,sentiment
325,waalaikumsalam garuda,neutral
334,kereen timnasku,neutral
177,mana,neutral
277,nyala abangkuuhhh,neutral
501,mental gis nyala giswkwk,neutral
186,gasss abangquh,neutral
273,alhamdulillah semifinal,neutral
356,riofajarkcolongan mulu,neutral
121,raja asia,neutral
396,sabarr,neutral
337,emang begadang,neutral
460,panas dingin mbak,neutral
449,panas tiris pkonamah,neutral
360,nyala garuda kuu,neutral
90,informasi main indonesia panggil tim nasional bkin ucap selamat tim nasional story,neutral
441,main bangga liga,neutral
79,alhamdulillah cinta,neutral
456,nyalain abang,neutral
16,ente main san,neutral
215,hoki caraka tolong poster nathan aon,neutral
184,alhamdulillah bias korea jiwa indonesia,negative
400,waalaikumsalam,neutral
20,wasit korsel indonesia jek enak jaman,neutral
509,sih acara towel sesi netizen,neutral
345,hwang cium pipi hong buka google khas qatar,neutral
59,dunia gemerlap,neutral
283,mantap tim nasional moga semifinal menang masuk final aamiin,neutral
493,waaaaaaaaaaaaaaaaaaaaaaaa,neutral
438,lupa jalan pulang mas king indonesia terbang,neutral
158,pattynamafanpage yess pattynama,neutral
26,bismillahirrahmanirrahim,neutral
270,bangjay,neutral
44,uzb kalah bobol alih perhati tim nasional menyalaaa,neutral
317,lupa juni gelora bung karno jakarta lawan irak bang,neutral
415,bangga,neutral
461,baik seng kuu,neutral
289,panggil argentina,neutral
130,marselino false nine apit witan sroyerramadhan sananta rusak kombinasi umpan pendek ujung main crosing crosing uzbek main nya besarhoky caraka bagus striker pantul suka salah ambil putus salah pasing pede diaalternatif baik marselino false nine karrna mampu nahan bola lumayan,neutral
339,mantappp,neutral
32,ayo tim nasional menang masuk olimpiade paris,neutral
117,tanggal nobar jang,neutral
260,badan dilumurin arang bang biar sangka imigran tau otak dungu,neutral
223,waalaikumsalam garuda sehatsehat,neutral
419,nyala adinda indonesia,neutral
60,bungsungkan dada tatap mata lawan yakin meraihnyadoaku menyertaimumeraih prestasi level,neutral
399,king remacth lawan argentina,neutral
25,bangga,neutral
18,wasit wasit var anjeng,neutral
197,rizkyalamsyah upssss,neutral
69,het dimanamana komenan,neutral
291,uhuyy,neutral
425,limagaib mental tempe akun barang milik sok main tim nasional,positif
98,nyala abang,neutral
316,bang kerja johor malaysia ketemu bang,neutral
411,qavar pulang sendirisendiri rombong,neutral
24,terima kasih tim nasional juang keras semangat menyerahproud hormat setinggi,neutral
276,semi final nya bang,neutral
304,alhamdulillah indonesia juara,neutral
376,super proud,positif
6,ayo indonesia,neutral
120,menang,neutral
47,moga menang,neutral
190,nyala nyala,neutral
17,semangat garuda,neutral
484,moga hasil,neutral
370,wkwkwkwkw,neutral
4,beyond proud,positif
239,telepon argentina,neutral
387,siapp,neutral
63,ajg,neutral
114,masha allah indonesia handsome,positif
412,assalamualikum semi final,neutral
423,sananta,neutral
30,terimankasih erik thohir terliba keeberhhasilan tim nasional,neutral
279,kwofficial preman mampir kesini sehatsehat bang,neutral
307,lfg,neutral
27,nyala abang,neutral
8,bismillah mulaiii dek dekan,neutral
185,tercyduk,neutral
472,limagaib mental tempe,neutral
112,bismillahirrahmanirrahim tim nasional juara,neutral
38,juara empatkalian juara satu indonesia semangat garuda hebat,neutral
161,nyala tim nasional,neutral
488,alhamdulillah sia nobar jelang subuh rame lancar jalan puluh merinding lemes bangga,neutral
122,walaikumsalam insyaallah final aminn,neutral
118,main main yaa qatar,neutral
271,waallaikumussalam nyala anak gede kuhhh,neutral
179,asi games ulang,neutral
439,the giant killer,negative
354,wasit rada kli,neutral
148,wak senang,neutral
388,salah tim nasional,neutral
434,berkelaaazz,neutral
216,prouddd,neutral
326,alhamdulillah senam jantung,neutral
500,siwaseko pikir baju corak hijau sejarah wkkw nonton,neutral
463,waalaikumsalam bismillah final,neutral
145,abang cita cita kapal lawd,neutral
379,qavar duluan gojek bang,neutral
70,hati lihat sang garuda terbang suka sepakbola indonesia maju aneh orang indonesia,neutral
369,uyeee,neutral
172,alhamdulillah jalur langit salah,neutral
515,legend,neutral
451,proud,positif
233,yakan,neutral
198,angkat sby pns,neutral
85,assalamualaikum semifinal runner laju semifinal yah qatar,neutral
113,alfatihah,neutral
431,ramadhan seblak rong ewu mangatus,neutral
149,haha dosa,positif
96,nyala mase,neutral
156,juni main klok,neutral
486,nyala,neutral
253,walaikumsalam,neutral
87,waalaikumsalaam warahmatullahi wabarokatuuh bismillah insyaallah pasu jalur langit kawal juara biidznillah,neutral
107,dalleka,neutral
169,capt,neutral
167,keep the spirit guyss dontnwaste chance next game,positif
